,tic,PERMNO,VOL,RET,risk_premium,SPREAD,size,s2p,epspxq,ceqq,mktrf,smb,hml,rf,umd,sprtrn,date_merge,sizeln
7232,CE,90520,318072.0,0.146991,0.10099100000000001,0.0625,6756310.25,0.00026049721443742165,1.35,1062.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.725987477998718
7233,DRH,90680,202233.0,0.006314,-0.039686,0.05,1208343.0,0.00019441003092664913,0.22,1080.282,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.004760557570803
7234,THS,90775,53689.0,-0.008311,-0.054311,1.3125,707394.68,0.0005243692248293413,0.46,629.309,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.46934403522764
7235,CNSL,90803,26443.0,-0.029254,-0.075254,0.03125,422021.60000000003,0.0002014209699219187,-0.04,155.366,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.952811776542374
7236,CF,90829,722789.0,0.290291,0.24429100000000004,0.375,7535198.3,0.00011313570871784489,2.43,1187.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.835095706882905
7237,IRBT,90979,314349.0,-0.089344,-0.13534400000000002,0.25,1214078.5799999998,0.00044875760842432463,0.47,804.434,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.009495976678137
7238,CORE,91018,8506.0,-0.002784,-0.048784,0.375,301961.76,0.003425599320920636,0.49,266.5,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.618055665823142
7239,REX,91064,8788.0,-0.222222,-0.268222,1.0,5093.27,0.007728237458450072,1.06,251.792,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,8.535675339420118
7240,HBI,91416,332540.0,0.199315,0.15331499999999998,0.3125,3338141.4200000004,0.00034723813468633694,0.52,288.904,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.020924748993114
7241,DEI,91519,193244.0,0.077063,0.031063000000000007,0.25,2881232.64,4.827586570725507e-05,-0.05,1829.839,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.873728760546255
7242,THRM,91623,10116.0,-0.033333,-0.079333,0.0625,75950.70999999999,0.0002157978510009979,0.08,42.709,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,11.237839856235656
7243,STAR,92104,227576.0,0.171852,0.12585200000000002,0.03125,1093193.6400000001,0.0003964146736162863,-0.66,2899.459,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.904613915236471
7244,TEL,92157,379545.0,0.094114,0.048114000000000004,0.875,18234195.15,0.0001951278886032982,1.76,11429.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.71880924360344
7245,ES,92389,61395.0,-0.047515,-0.093515,1.0,1929442.4000000001,0.0006613097131067504,0.47,2913.835,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.472741607220883
7246,CW,18091,73588.0,0.084649,0.066049,0.625,2304763.44,0.00021593148839604988,0.86,914.785,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.650488600078917
7247,ALE,24248,36597.0,0.073737,0.055137,0.125,1369957.22,0.0001549683427340892,0.78,742.6,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.130290071039385
7248,AIT,29938,877.0,0.079288,0.060688,0.5,4289364.859999999,0.00017515110617099617,-0.14,880.707,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.271649228661476
7249,AIT,29938,877.0,0.079288,0.060688,0.5,4289364.859999999,0.00017515110617099617,-0.14,880.707,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.271649228661476
7250,AIT,29946,52429.0,0.105263,0.08666299999999999,0.5,4805430.420000001,0.00015634125028076047,-0.14,880.707,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.385257173898117
7251,AIT,29946,52429.0,0.105263,0.08666299999999999,0.5,4805430.420000001,0.00015634125028076047,-0.14,880.707,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.385257173898117
7252,ADP,44644,472243.0,-0.026018,-0.044618,0.25,22317894.9,9.633973139644098e-05,0.56,5177.6,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,16.92089937651336
7253,MKC,52090,111853.0,-0.005557,-0.024156999999999998,0.77,4336995.06,0.00019832141565778036,0.69,1085.1,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.282692283780655
7254,MKC,52090,111853.0,-0.005557,-0.024156999999999998,0.77,4336995.06,0.00019832141565778036,0.69,1085.1,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.282692283780655
7255,MKC,89155,113.0,0.001064,-0.017536,0.77,481317.6,0.0017870092429614045,0.69,1085.1,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.084282622251958
7256,MKC,89155,113.0,0.001064,-0.017536,0.77,481317.6,0.0017870092429614045,0.69,1085.1,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.084282622251958
7257,HD,66181,3588965.0,-0.05,-0.0686,0.25,46239357.6,0.0003819040946191692,0.4,17714.0,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,17.649341889498327
7258,MDC,66245,147473.0,-0.061955,-0.080555,0.125,1720802.3900000001,0.0004500551629289636,-6.14,1476.013,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.358301245823581
7259,RES,66683,54326.0,0.176977,0.158377,0.125,1476431.22,0.00012610746608297812,0.21,409.272,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.205138395945292
7260,SCHL,69382,8715.0,0.010352,-0.008247999999999998,0.25,285001.76,0.00021759865623285975,1.34,42.605,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,12.560250634670316
7261,BDN,70121,133463.0,0.075645,0.057045000000000005,0.125,1644327.08,9.79008385606591e-05,0.34,1743.192,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.312841788580874
7262,SON,71176,92474.0,0.058877,0.040277,0.375,3444655.38,0.0003077573466870291,0.54,1441.537,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.052334422592986
7263,Y,71271,3751.0,0.089985,0.071385,1.5,3132421.0,9.847654577721194e-05,6.43,2494.395,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.95731674596108
7264,TFC,75631,4425.0,0.0,-0.0186,0.5,104357.54,0.026160064715975484,0.75,12632.0,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,11.555578166722931
7265,TECH,75694,43336.0,0.08246,0.06386,0.5,3033397.0,2.0485943646677306e-05,0.6,468.355,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.925193671609692
7266,PTC,75962,15231.0,0.148748,0.13014799999999999,0.5,37082.76,0.011570066521477905,0.2,1494.929,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,10.520907450566702
7267,TYL,76185,23750.0,0.08915,0.07055,0.125,599069.12,0.00010085647545979336,0.16,137.211,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.303132262760938
7268,EXPO,76261,28786.0,-0.033195,-0.051795,0.1875,480720.93999999994,0.0001180185743520971,0.35,131.919,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.083042214406131
7269,MTRX,76279,62327.0,0.198906,0.180306,1.0,628378.9299999999,0.00033536134001183016,0.01,133.945,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.350898655202492
7270,PRA,76838,49503.0,-0.032118,-0.050718,0.25,1642228.88,0.00010233104657129158,1.58,1255.07,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.31156495026709
7271,WNC,77117,40861.0,0.023866,0.005266,0.375,263483.22000000003,0.0009785215164745595,0.19,279.929,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,12.481744963721399
7272,OFC,77239,83261.0,0.016354,-0.002245999999999998,0.25,1805577.4799999997,5.7066507054574034e-05,0.12,822.561,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.40639103209931
7273,GILD,77274,1169903.0,0.068779,0.05017900000000001,0.5,51030985.08,2.1452123612425472e-05,0.43,3459.99,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,17.747943556792695
7274,SMG,77300,162286.0,-0.145293,-0.163893,0.25,1819435.8,0.00016966798168970842,-0.89,417.9,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.414037010993045
7275,ROP,77338,88187.0,0.047006,0.028406,0.375,5814966.24,9.631767010912172e-05,0.81,1789.806,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.57594553824307
7276,SCHL,77354,54074.0,0.104796,0.086196,0.75,1133439.5,0.0005953559938576342,2.17,1028.6,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.940767373001501
7277,BKE,77584,71341.0,-0.056608,-0.075208,0.375,1403452.0899999999,0.00014746566803003588,0.98,338.32,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.154445538113075
7278,FCF,77643,86595.0,-0.098795,-0.117395,0.375,821158.14,0.0001164562528723152,0.16,568.788,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.618470988643567
7279,REX,77780,76444.0,0.553398,0.534798,1.0,178232.0,0.0006828179002648234,0.7,55.594,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,12.09084135141036
7280,CAKE,77902,319738.0,-0.114892,-0.133492,0.5,1343331.98,0.0003024501806321919,0.19,562.926,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.11066363781008
7281,MTX,78015,38567.0,0.028344,0.009744000000000003,0.25,1314863.29,0.00020858366195621752,0.9,751.173,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.089243256212395
7282,MTX,78033,216961.0,-0.033225,-0.051824999999999996,0.125,2751058.0,0.00015695779587344215,0.91,1460.8,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.82749612292692
7283,PDCO,78034,332054.0,-0.005556,-0.024155999999999997,0.375,4161361.57,0.0001867047568279437,0.45,1306.484,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,15.241352879167097
7284,TCO,78089,79992.0,-0.051526,-0.070126,0.25,2838645.0,6.716831445989195e-05,0.41,-15.869,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.858837383606863
7285,AMCR,78876,52480.0,0.090395,0.071795,0.125,322248.24,0.01219861433533353,0.44,2996.559,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,12.68307745918838
7286,FOSL,79089,212514.0,-0.113998,-0.132598,0.03125,2195917.5,0.00021089726731537045,0.77,771.662,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.602110512599841
7287,ATR,79133,81238.0,0.012911,-0.005688999999999998,0.125,3041541.36,0.00015905027837596132,0.49,1119.018,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.927874971203783
7288,TWI,79198,85587.0,0.109458,0.090858,0.125,1084663.67,0.0001889415176964487,-0.32,272.522,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,13.89678051533566
7289,SKT,79238,91030.0,-0.052057,-0.070657,0.125,1206051.36,5.175650231015037e-05,0.29,174.204,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,14.002862242427142
7290,ALL,79323,809310.0,0.019658,0.001058,0.375,28056274.74,0.0003204630722831309,1.38,21851.0,0.0186,0.0295,-0.0153,0.0018,0.0321,0.010674,2008-05,17.149722863311947
